Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
10484+7202,104830.6,72022514.4,1181,3412700,-7,1.2,1.2,5955,T03401,
N3414,104831.7,28142512.2,3 1414,802212,-2  P,3,2.5,11.7505959,T10349,Arp162
N3398,104831.8,55435115.3,1195,1 002,6A,1.5,1.2,14.9 05976,,"UGC Coord incorrect,=I 646"
N3413,104834.1,33015613.1,644,612212,-1  /,1.9,0.8,5960,T07884,
10485+7150,104835.7,71504315.5,10022,2212700,,,,,,
N3423,104837.4,6062711.8,5 1010,702212,6A3s,4.3,3.6,11.6205962,T16104,
N3419,104839.1,14124313.4,3034,612212,-1X R,0.7,0.6,5964,T04282,
10486+0708,104839.2,7082915.3,8274,3312700,,,,,,
N3418,104839.6,28224114.5,1291,2112779,-1X s,1.2,1,5963,T01300,
N3419A,104841.3,14172014.9,3074,310651,3,1.7,0.15,5965,,3076 36 (2712)
10487+1916,104844.3,19164615.3,8851,2012700,,,,,T23738,
N3406,104845,51171514.1,7541,3292712,-5,1.1,1,5970,T04286,7473 10 (3527)
N3406A,104845.8,51172714.9,7105,3692712,,,,,T04287,6962 10 (3527)
N3425,104848.9,8500014.5,6627,2412715,-2,1.1,1.1,5967,T03254,A1142-202
N3415,104849.7,43584112.9,8 3303,902212,-1A,2.1,1.2,5969,T09297,
N3427,104849.9,8334814,6471,2712700,0,1.3,0.9,5966,T20073,
10488+6702,104850.4,67031215.4,12608,3712700,2A,1.1,0.35,5971,,
N3428,104852.4,9324014.1,8022,210661,3X,1.6,0.7,5968,T03255,A1142-203
N3410,104855.3,51162014.8,8292,3692700,3,,,,T04288,
N3416,104855.6,44014615.2,3338,1512779,3,,,,,AK260
10490+0826,104856.9,8254615.3,6129,1212700,,,,,,
10490+0451,104859.6,4505314.7,1041,912212,5A,2.1,0.8,5974,T11778,
N3424,104900.1,33095413.2,1501,912212,3:00 PM,2.7,0.8,5972,T07885,
N3426,104901.2,18444713.9,6109,2612700,0,1.8,1.5,5975,T00420,
10491+1614,104905,16134815.4,6632,1141-2,,,,,M10219,
N3408,104905.8,58421414.1,9471,3012700,5,0.9,0.7,5977,T01694,
N3407,104907.4,61384314.8,5040,1201 0,-3,1.4,0.7,5978,,
10492+1900,104909.6,19003915.1,8781,2212700,,,,,T23739,
10492+1806,104910.7,18061615.5,11403,901-2,,,,,M10234,
10493+4957,104918.1,49573815.4,6861,1512700,,,,,,
10494+0913,104921.9,9122915.2,6654,410661,5,0.7,0.6,66047,T16110,
N3434,104922.6,4032613.4,3636,110651,3,2.3,1.9,5980,T09298,3641 20 (0643)
10494+0903,104924.2,9025815.5,14504,3312700,,,,,T16109,
N3430,104925.2,33130312.3,9 1585,402212,5B3t,4.4,2.4,12.1505982,T07886,I2613
N3433,104926.1,10245612.4,9 2718,402212,5A1s,4,3.6,5981,T14668,2720 1 (0651)
10495+3020W,104929.7,30191814.9,10355,35H2700,1B P,1.8,1.2,05984A,M04608,"VV233A,KDG254A,Arp107"
10495+0338,104931,3381615.2,10631,2512700,,,,,,
10495+1304,104931.3,13033815,5459,3412700,,,,,T16028,
10495+3020E,104933.2,30201015.3,10516,26H2700,-4  P,1.1,0.5,05984B,M04607,"VV233B,KDG254B,Arp107"
10496+4610,104934.3,46091715.4,5733,3312700,,,,,T17804,
10497+1812,104941.2,18120415.2,1526,901-2,,,,,M10233,
N3432,104942.9,36530911.9,4  615,402212,9B5P,7.5,2,11.7305986,T13022,"VV11,Arp206"
N3438,104948.6,10484614.3,6486,2912715,5,0.9,0.8,5988,T03270,A1142-204
N3439,104948.9,8492515.2,6213,3812779,,,,,T15948,
10498+4952,104950.6,49524114.7,6810,2112700,-3,1.1,0.7,5991,,
10498+0821,104950.8,8213415,6515,1512700,,,,,,
A1049+0521,104950.9,5213715,6485,11819,,,,,,MK1266
10498+3445,104951,34445715.1,1569,912212,1  /,1.5,0.4,5990,T12442,
10498+2003,104951.2,20032614.2,1126,812212,10,1.5,0.5,5989,T03290,
10498+1046,104951.4,10451615.5,6618,2612700,,,,,T16046,
10499+0810S,104952.5,8101115.5,6116,15H2779,,,,,,SOUTH
N3437,104952.8,23120113,6 1283,402212,5X4T,2.8,0.9,05995 17.2,T12850,
N3441,104954.7,7292913.9,6534,3212700,5,0.8,0.4,5993,T09195,AK263
10501+3752,105010,37524615.1,12568,2712700,1X r,,,,T12464,
10502+5034,105012.3,50325714.5,1385,1012212,8,0.9,0.35,5998,T01633,MK156
N3403,105014.3,73571813.3,1262,1012212,4A5,3.5,1.5,05997 20.4,T12857,
10503+0019,105014.8,180215.4,1810,3512761,,,,,T18476,
N3443,105020.4,17502814.7,1132,1010200,7A,2.6,1.2,6000,,
10503+3741,105021.1,37412615.5,7694,2312700,3B4t,1.3,1.1,6002,,
N3442,105021.2,34103413.2,1732,512212,10:00 PM,0.65,0.5,6001,T12284,MK418
N3444,105022.8,10283015.4,9397,210661,4A,1.1,0.12,6004,T16027,
10504+4343,105024.5,43430015.3,7805,3712700,,,,,T14579,
10504+0454,105028.5,4535214.1,5793,3512700,-6,0.5,0.5,6003,T03047,"AK264,MK1267"
10504+2709,105030.5,27090915.1,6249,2912736,3B s,,,,T10710,
10506+1630,105033.4,16300114.6,6684,3512700,,,,,T25460,
10506+3205,105036.3,32051715.5,10418,1912779,-3A,,,,T10478,
10507+5103,105037.5,51022515.5,7854,14701,3B,1.9,0.25,6008,,
10507+1221,105043.4,12210615.4,13931,4612700,,,,,T16218,
N3447A,105043.7,17022214.4,1066,1H0912,10B P,4.2,2.3,6006,,VV252
10507+0253,105044,2533415.4,1068,1712700,,,,,,
N3440,105046.2,57231114,1904,310902,3B,2.3,0.5,6009,T01075,PGC32714
10508+1911,105049.7,19114814.9,8425,3612700,,,,,T23944,
10508+3417,105051.6,34175814.7,1875,2912700,3B t,,,,T12524,
10509+4629,105052.4,46290615.3,7528,2412700,,,,,T17806,
10510+4955,105103.2,49553413.9,6577,2412700,-2,0.9,0.7,6013,T04386,
10510+4952,105103.8,49521714.8,6661,3012700,,,,,T17805,
10511+1000,105105.3,9594015.2,1134,612212,15,1.6,0.9,6014,,
10511+5318,105107.1,53174515.4,6445,2312700,,,,,,
10511+4617,105108.5,46173914.9,12450,3112700,5A,1,0.8,6015,T17843,
A1051+1706,105110,17063515.2,24930,100H2406,,,,,,A1126
10513+4918,105120.7,49181615.4,6766,2812700,,,,,T17807,
10514+0700,105128.2,6593115.4,7996,1412700,,,,,,
N3445,105132.9,57152713.1,6 2022,602212,9X s,1.7,1.6,12.8006021,T12852,"VV14,Arp24"
N3451,105137,27302313.5,1334,912212,6B4s,1.9,0.9,06023 18.2,T12849,
N3448,105138.4,54342312.4,2 1350,502212,5,5.3,1.5,12.1506024,T10767,Arp205
N3435,105139.6,61332514.2,5158,912212,3,1.9,1.3,6025,T01695,
10518+4807,105144.2,48074215.4,21798,3412700,,,,,T17845,
10517+4744,105146.8,47430515,6705,2712700,,,,,T17844,
10518+2126,105148,21254915,9483,3512700,,,,,T20871,
10519+4649,105148.9,46491314.9,6688,2512700,,,,,T17846,
N3454,105149.8,17363814.1,1107,512212,5B s,2.4,0.5,6026,T00104,
10519+1013,105150.6,10125814.9,9241,371-1,,,,,T16047,
N3455,105151.6,17330813.1,3 1107,422212,3X T,2.9,1.8,6028,T00105,
10521+1620,105203.4,16204115.5,6374,3112700,,,,,T25461,
10520+4959,105206.1,49593614,1363,612212,10,1,0.8,6029,T10765,MK157
N3457,105208.8,17531813,1158,812212,-5,1,1,6030,T00160,
10521+4952,105209.6,49522715.3,9578,2912700,,,,,T17847,
10521+7145,105212,71451915.4,1165,5812700,,,,,,
10522+1441,105214,14412915.4,9974,3412700,,,,,T25515,
10523+1019,105217.2,10185115.1,8115,710661,4,0.7,0.6,66062,T16048,
10524+1432,105220.1,14321515.5,16615,2212700,,,,,T25546,
10526+0607,105236.6,6074715.3,3498,1712700,,,,,,
10527+2102,105239.8,21015715.5,9734,4012700,,,,,T20872,
10526+4234,105242,42335915.5,7536,2512700,3A,1.3,0.7,6033,T14583,
N3462,105244.6,7574513.4,6509,2512700,-2,1.7,1.2,6034,T12873,
10528+1724,105247.5,17244715.2,1072,312212,10B8,1.3,1.2,6035,,
10527+7759,105249.9,77590115.5,-60,4112700,,0.6,0.2,,120197,
10529+4419,105254.7,44190015.2,11086,2712779,,,,,T14657,
10529+0907,105255.1,9064815,15452,4412700,,,,,T16049,
N3458,105258.8,57230813.2,1898,3012700,-2X,1.4,0.8,6037,T12853,
10530+0438,105300.5,4383814.9,6721,2212700,,,,,,
10530+0239,105304.3,2394315.5,1014,3512700,,0.5,0.2,,T18487,
10531+1716,105304.7,17162015.1,1124,4112779,,,,,T24567,
10530+3707,105307.3,37074014.6,6539,2712700,1  /,1.7,0.35,6036,T12536,
10531+1508,105308.6,15080015.1,18053,351-120,,,,,M10235,
10532+5012,105315.2,50121915,6937,3112700,,,,,T17858,
10532+4740,105315.3,47393415.5,6434,3512700,3A,1.2,1.1,6038,T17848,
10533+4236,105325.1,42360115.4,7477,2812700,,,,,T14584,
10534+0246,105327.4,2464015,11071,281-1,20,1,0.55,6040,,
10535+4401,105328.2,44011815.2,10839,3912700,,,,,T14312,
10535+0626,105333.3,6262414.8,1050,10511,,,,,,"AK268,T1053+064,MK1271"
10536+1529,105336.5,15292715.5,8151,1 002,5A,1.3,0.6,6043,,
N3466,105338.6,10012014.6,9831,1210661,2A,1.1,0.6,6042,T15979,
10539+1012,105354.8,10115914.7,9480,310661,2,0.8,0.7,66066,T15980,
10539+0551,105355.2,5512315.5,15512,1312700,,,,,,
10539+1703,105355.5,17033114.8,9031,2212700,,,,,T24566,
N3467,105407.3,10013314.2,9478,2712715,-2,0.9,0.8,6045,T03256,A1142-205
10541+0707,105410.2,7071515.2,15725,1712700,,,,,,
10541+0555,105410.5,5554215.2,11906,1412700,,,,,,
10542+0710,105414.9,7102614.9,6571,1312700,5B,1,0.7,6046,,
10543+1829,105419.4,18293115.3,8957,2512700,,,,,T25507,
10545+1511,105429.8,15113515.5,9939,4112700,,,,,T25508,
10545+2849,105432.6,28483315.3,13703,3112736,3B3R,,,,T10711,
10546+0843,105434.6,8431315.1,10875,3712700,,,,,T15837,
N3468,105441.4,41125114.2,2468,1012212,-2,1.6,1,6048,T01001,
10548+0949,105451.4,9482115.5,10363,3012700,,,,,T16050,
10549+3755,105454.5,37552015.2,10571,2612700,-1A,,,,T12551,
10549+0834,105455.1,8335814.7,10401,1912779,,,,,,
10549+0558,105455.4,5575615.2,16094,2512700,2A,1,0.6,6049,,
10550+0837,105459.8,8362315.2,11030,5412700,,,,,T15839,
10551+1534,105505.8,15343015.4,10905,4512700,,,,,T25509,
10552+0818,105514.3,8184115.1,15126,2012700,,,,,,
10553+0158,105517.4,1564215.4,12508,3412700,,,,,T18450,SOUTH Companion
N3473,105525.7,17232914.8,9115,3612712,2,1.1,0.9,6052,T04240,P. W. N3474
10555+0618,105528.2,6185015.1,7871,111 002,5A3,1.1,1,6053,,
N3474,105529.3,17214614.9,9115,3012712,-4,0.8,0.7,14.85,,Pair w/N3473
N3476,105530.8,9323715,10394,3112700,-4,,,14.8,T15959,
10553+7254,105532.9,72540514.6,8100,4010300,,,,,,"MK159,KDG258A"
10556+0750,105536,7502115.2,14748,341-120,-1B,,,,,
10556+0254,105538.5,2545615.4,10441,3612700,,,,,T17911,
I 658,105539.7,8303314.6,10419,2712700,-3  P,,,,T15838,
10557+4632,105540.5,46320915.1,11940,3912700,,,,,T17859,
10557+0451,105540.8,4510315.1,6637,2512700,0X,,,,,
N3470,105540.9,59464114.3,6548,812218,3A R,1.7,1.3,6060,T12855,"KDG259A,PGC33040"
N3475,105543.5,24294414.6,6431,912212,3,1.7,1.2,6058,T22554,
N3465,105544,75275414.6,7170,1 002,2,1.5,1.2,6056,,
10558+2438,105546.2,24382815.1,6080,2412700,,,,,T22555,
10558+0659,105547.1,6585815,10506,4612779,,,,,,
10559+4335,105552.4,43351815.5,8945,3912700,,,,,T14692,
10559+0454,105555.4,4535315.3,6644,1812700,2:00 PM,,,,,
10560+0919,105600.9,9191013.7,2665,3412700,-2B,1.4,0.7,6062,T12943,
N3471,105602.2,61475613,2129,1012212,1,1.9,0.9,6064,T12856,MK158
10560+2525,105603.2,25242515.4,6052,912212,20,1.5,0.2,6063,,
10565+0143,105622.9,1421515.1,12384,2712700,3B,,,,T18581,
10564+0647,105623.4,6472515,11844,5912700,1,1.6,0.3,6066,,
10565+0516,105631.7,5162515.5,10868,5011820,3X3,,,,,
10566+0128,105631.7,1270215.1,11681,712454,2A,,,,,A1139
10566+0210S,105632.1,2085415.5,12221,33H2700,,1.4,0.7,06067A,T17913,SW Comp
N3478,105635.2,46232813,4 6667,1002212,4B2T,2.6,1.3,6069,T12859,PGC33101
10566+5015,105638.3,50151315.5,6955,3312779,,,,,T04541,Compact
10566+0533,105639,5334415.4,10694,7012700,-1,1.3,0.6,6068,,
10568+0127,105643.5,1251515.4,12002,2312700,-4,,,,,
10568+0715,105648.4,7150315.5,16024,1512700,,,,,,
10569+5017,105658.1,50170014.8,7742,2512712,,,,,T04539,
10569+0912,105658.8,9114115.5,9296,4712700,-1,,,,T16051,
10569+3339,105700.8,33393813.3,1849,812212,9:00 PM,0.6,0.5,6070,T12305,
10571+5112,105702.8,51101714.3,2889,1814302,-1B P,0.9,0.8,6074,T01634,
10570+5019,105704.6,50193014.4,7126,2512712,-7,1.4,0.8,6071,T03362,
10571+4620,105705.4,46202715.1,6113,541-1,,,,,T22693,
10571+1755W,105705.4,17550315.5,8820,34H2700,/,0.9,0.15,06073W,T25594,
10571+5743,105705.7,57415015.5,8263,2312700,,,,,240696,
10571+1020,105707.8,10202014.9,10647,812212,2A,1,0.9,6072,,A1142-D18
10572+0415,105709.4,4150915.2,11026,1512700,1B,,,,,
10573+4611,105717.4,46110814.5,6411,2412700,-7,0.8,0.6,6076,T01516,
N3490,105717.6,9374915,10667,2712700,-4,,,,T16075,
10573+4600,105719.3,46002214.4,11310,4112700,3A,1.8,0.8,6075,T01515,
10573+3535,105723.5,35352715.1,9047,2412700,-2  /,,,,T12525,
N3485,105723.9,15064312.8,5 1436,400611,3B3R,2.6,2.4,6077,T16147,
10574+1742,105724.5,17413314.8,8858,4512700,,,,,T25595,
10575+1230,105726.3,12301315.1,6276,210661,4A,1.2,0.6,6078,T16076,
10575+1038,105733.4,10381915.5,11017,410661,3,0.4,0.3,,T06319,"A1142-D32,MK1275"
N3486,105740,29144011.2,681,110912,5B3,7.2,5.1,10.8506079,T10768,
N3489,105740,14101511.2,4  690,402324,-1X T,3.5,2,11.1506082,T02631,MCG+02-28-039
10577+1019E,105742.4,10185615.2,10791,21H2715,5:00 PM,1.1,0.9,06081A,,A1142-D11
10577+0311,105743.2,3120015.5,10216,3012700,,,,,T18579,
10577+0629,105743.3,6290415.3,11492,4512700,-1,,,,,
10577+1657,105746.7,16574215.2,948,310656,4A,1.5,70.1,8     06083,T25439,MCG+02-28-046
10578+0427N,105748.3,4275415.5,6816,31H2700,,,,,,
10577+2958,105748.3,29580615.2,10352,2812736,3,1,0.5,6084,T09326,
10578+1507,105748.5,15080615.5,8092,2212700,,,,,T23945,
10578+0640,105751.8,6401315.4,11453,1512700,4B2,,,,,
10579+1013,105757,10133115.5,9308,210661,5A,1,0.15,6086,M01381,A1142-D8
10580+0224,105757.9,2230315,11832,2612700,3B,1.2,1.1,6087,T17912,
N3491,105758.1,12255314.1,6386,3012715,-3,0.8,0.8,6088,T03233,A1142-206
10580+5804,105758.6,58030915.2,14299,4612700,,,,,240696,
10580+1141,105759.8,11410215,8172,3112700,,,,,T16127,
10581+1009,105802.8,10084115.1,10715,610661,3B,1,0.35,6091,M01358,A1142-D1
10580+3821,105805,38222415.4,8771,3412700,6A3,1.1,0.9,6089,T12552,
N3487,105807.2,17512014.6,8741,2512700,20,1,0.4,6092,T23946,
I 664,105808.8,10491814.8,10118,2512715,4,,,,T06309,A1142-D45
10582+1552,105809.6,15521615.5,14248,2112700,,,,,T25440,
10582+1100,105810.7,10594914.8,10805,1012212,4X3,1.2,1,6093,,A1142-D51
10581+6502,105810.9,65022015.3,12845,3712700,,,,,110497,
10581+4510,105811.5,45092615.2,8735,4512779,,,,,T22692,
10583+1117,105815.3,11165415.1,8177,310661,3,0.6,0.6,,T07756,A1142-D56
10580+7529,105816.4,75275314.8,3467,1013800,2,1.5,0.7,6090,,
N3492,105820.3,10462714,10602,4512700,-5,1.1,0.7,6094,T05863,"A1142-41,10970 46 (2715)"
N3488,105823,57564513.7,2993,1012212,5B s,2.1,1.4,6096,T02468,PGC33242
A1058+1035,105823.2,10350114,11080,3992715,-2,,,,T07755,A1142-D29
10585+0454,105831.3,4540515.5,11722,1912700,6B,,,,,
10586+1659,105833.5,16593615.3,8597,3412779,,,,,T25493,
10586+1245,105833.6,12443514.6,8068,3412700,,,,,T06492,
I 666,105838.3,10450015.3,12538,3713508,D,,,,,"A1142-D35,MK1276"
N3495,105840.9,3534312.5,9 1136,502212,7 3,4.8,1,6098,T15933,
10587+0349E,105841.8,3495515.5,11844,18H2700,,,,,,
10587+4555,105842.4,45552214.1,8718,1012212,1,0.9,0.6,6100,M07908,Sy2
N3493,105844.2,27592015.3,8963,3012736,5B s,1.1,0.35,6099,T10712,
10588+0318,105846.4,3183515.1,11970,4412700,4X3,,,,T18580,
10590+4443,105858.3,44430114.7,11135,1912779,,,,,T18308,
10590+1859,105904.6,18592615.5,6629,3012700,,,,,T23742,
10591+4530,105907.8,45295113.4,5990,1712212,5B,0.7,0.45,6103,T12683,MK161
10592+2237,105910.1,22364515.2,1334,241-1,,,,,,
10592+1652,105912.5,16523314.4,2948,110651,4A,1.5,0.4,6104,T03347,2936 38 (2700)
I2615,105914.9,38125115.5,8481,2912700,-1  T,,,,T12526,
10594+1207,105918.1,12070515.5,14116,4012700,,,,,T15949,
10593+4609,105919.4,46093014.5,6550,3012700,3X,1.7,0.6,6106,T01517,
10593+1034,105919.9,10333615.5,10416,210661,7,1.1,0.6,66101,,A1142-D22
I2617,105920.1,38560115,9204,291-1,,,,,T14313,
10594+4433,105925.9,44322615.2,11156,3212700,,,,,T18309,
10594+0351,105927.5,3505715.1,15714,3212700,,,,,,
N3523,105929.4,75231313.8,7100,2512700,3,1.6,1.5,6105,T03460,
10594+5021,105929.6,50214815.5,7273,1912700,,,,,T26092,
10596+5924,105932.6,59234815,9960,5912779,15,1.7,0.8,6110,T26001,
I2620B,105936.4,38462814.9,8582,3012700,,1.1,1,6107,T14314,
10596+5052,105940.2,50510615.3,6705,241-120,5A,1.4,1.4,6109,,
10597+1030,105944.2,10304515.5,10670,3012715,-4,,,,T06303,A1142-D20
10598+0845,105944.9,8452515.2,14875,3712700,-2X,,,,T15932,
10598+0620,105946.4,6204615,6579,1812700,,,,,,
10598+1902,105951.8,19025715.4,9636,5312779,,,,,T23743,SE
10599+6503,105954,65023514.8,10841,4212700,,,,,120197,
10599+0254,105956,2531615.1,11937,2113700,,,,,,KDG261A
10599+0322,105957,3225315.2,9822,5212700,20,1,0.22,6111,T18448,
10599+1700,105957.1,17001114.5,1036,612212,7,2.3,0.8,6112,T12874,
10599+0419,105957.4,4195015.3,6640,1912700,,,,,,
11000+0253,105959.2,2523215,12021,1812779,,,,,,KDG261B
11000+5057S,110001.8,50554314.7,6137,24H2700,-7,0.9,0.8,06114A,T01635,"SOUTH Comp, 6102 10 (3527)"
11000+5057N,110002.9,50562215.5,6736,27H2700,,0.5,0.5,06114B,T01636,"NORTH Comp, 6710 10 (3527)"
11000+3702,110005.2,37030815.5,7413,2412700,1B r,,,,T12029,
N3501,110007.6,18154213.8,1134,412212,5,3.8,0.5,6116,T12956,
11001+0539,110008.2,5390015.5,18310,2712700,-4,,,,,
11001+3308,110010.1,33083815.4,10473,3312700,1:00 PM,,,,T12049,
N3499,110012.5,56292814.3,1559,2412700,0,0.8,0.7,6115,T01654,
11002+5029,110015.8,50283214.5,7276,1812700,1B,1,0.7,6117,T01637,
11003+1736,110020.3,17355914.9,12780,3312700,,,,,T25636,
11003+4158,110022.1,41582915.1,9260,4112700,,,,,T14072,
N3504,110028.5,28143111.5,1539,412212,1X R,2.5,2.5,11.8006118,T09501,
11005+0522,110028.9,5220315.3,7622,1212700,,,,,,
11005+0344,110031.6,3444115.3,9436,1712700,5B3,,,,,
11005+1501,110032.8,15013415.5,7229,3612700,,,,,T25421,
N3506,110035.9,11205012.9,6403,512212,5,1.3,1.3,6120,T12151,"AK273,A1142-70"
11006+3931,110037.8,39312715.5,6472,3412700,15,1.7,0.4,6121,T14270,
11007+0400,110039.6,3593915.5,6663,1712700,,,,,,
11006+0336,110039.8,3364414.4,7554,2812712,5,0.5,0.2,6119,T04259,TURNER28A
11008+0706,110045.2,7063815.5,18466,2912700,-2X,,,,,
11008+0711,110045.4,7112815.2,14596,3312700,1A,,,,,
11008+1305,110045.6,13052215.5,13894,4612700,,,,,T16148,
N3507,110046.3,18242511.4,978,412212,3B s,3.4,2.8,6123,T12154,
11008+4527,110047.7,45265814.8,6179,2712700,2B,1.4,0.55,6125,T18223,
11009+0708,110050.9,7082915.4,18454,4512700,-2,,,,,
11010+1735,110057.7,17350515.4,8460,3012700,,,,,T25637,
11010+1935,110058.9,19355314.9,9197,4012700,,,,,T24519,
N3510,110100.4,29092213.8,0  704,100912,7B4s,4.2,0.9,13.3006126,T12957,C17-DD
11011+0336,110100.6,3362615,15877,3512700,,,,,,
11011+4345W,110105,43451814.6,14927,2013700,,,,,,KDG264
11011+5005,110110,50052914.4,7194,3112700,5A,0.9,0.7,6127,T01550,
11012+4532,110113.9,45315514.8,6527,2612700,,,,,T18224,
11013+5741,110114.7,57402015.1,14112,2912779,,,,,120197,
N3512,110120,28182613.1,2 1375,402212,5B2,1.7,1.6,13.0006128,T12598,
11013+5017,110124.6,50181415.2,7173,3612700,4A,1,0.9,6129,T18225,
11014+1408,110126.2,14074815.1,6405,3412700,,,,,T16149,
11015+4623,110128.3,46231315.5,16084,4112700,,,,,T18238,
11015+0838,110132.5,8382015,8362,4712700,5A,1.1,1.1,6130,T16169,
11016+0720,110135.2,7201615.2,9792,2112700,,,,,,
11016+4524,110136.9,45235415.3,6526,3012700,,,,,T26046,
11016+4107,110137.7,41064015.5,9684,4112700,,,,,T14693,
11016+4418,110138.3,44180114.7,7686,3212700,-2,1.3,0.8,6131,T14271,
11017+3828W,110140.6,38284313.1,8887,4312700,-2  P,0.8,0.6,06132W,T12342,"BL Lac,MK421,TeV source"
11018+4615,110145.9,46151814.7,7521,1112218,20,1.9,0.5,6136,T18239,PGC33464
11018+4524,110146.6,45234213,6479,2912700,5,1,1,6135,T12684,5904 (0913)
N3509,110148.5,5060114,7703,612212,4A P,2.1,0.9,6134,T12959,"VV75,Arp335"
11018+2947,110152.5,29472115.5,9150,3012736,4B3R,,,,T09327,
11018+1724,110153.3,17235015.1,13025,3612700,,,,,T25638,
N3515,110154.7,28294814.8,8717,110661,4A4,1,0.7,6139,T10870,
11019+0256,110155.9,2564915.3,12073,2912700,-2,,,,,
11019+1620,110156.2,16195514.2,6303,2412700,-1,1.2,0.7,6137,T00932,
11019+0359N,110156.5,3592115.4,9430,41H2700,,,,,T17635,"IR,NORTH"
11020+5958,110159.8,59571415.2,10195,5011820,,,,,,
11020+0640,110201.1,6395315.3,9656,1812700,,,,,,
11022+0433,110206.7,4340215.2,7654,3112700,,,,,T20764,
11020+0528,110206.8,5275415.2,7005,1912700,3X,1.2,0.8,6141,,
11021+0433,110206.8,4335714.5,7559,2812700,3,0.8,0.4,6142,T03076,
11022+3018,110215,30175014.7,8723,3312736,4B P,,,,T10827,
11022+4500,110218.2,45010214.6,6460,10300,,,,,,"MK162,M8-20-83"
11022+3538,110219.2,35380915.3,7432,3112700,3B r,1.4,0.3,6143,T12050,
11024+1509,110222.3,15095515.1,6186,1912700,,,,,T25422,
11023+3820,110222.5,38202315.4,8740,3212700,4,,,,T12244,"B2 1101+38-4(vsrc1129),S*"
A1102+0433B,110222.6,4334215.1,7627,391-1,,,,,T20763,IR
A1102+0320,110224,3200015,15877,3512712,,,,,,
11025+0813,110229,8124815.2,8414,1412700,,,,,,
11025+7246,110230.7,72474015.4,7182,1712779,,,,,120197,
11025+0451,110232.1,4512215.4,7668,1312700,,,,,,
11025+3830,110235.2,38301415.4,8465,3412700,,,,,T14272,B2 1101+38-3(vsrc1129)
11026+3817,110236.7,38173615.5,9020,3112700,-2  D,,,,T12245,"9350 (1129),B2 1101+38-6"
N3517,110239.3,56474613.8,8200,3512700,3A,1,0.9,6144,T12960,
11027+2639,110242.8,26380615.3,6487,2412736,-3,,,,T10909,
11030+8308,110250.8,83072615.4,1669,2612779,,,,,120197,
11028+1906,110252,19061715.5,9608,1812700,,,,,T24221,
11028+1755,110253.5,17543814.9,994,1812700,,,,,T24220,
11029+3523,110257,35231715.5,8612,3112700,3B P,,,,T12072,MK1279
11030+2004,110304.6,20044915.5,9290,4112700,,,,,T24222,
11031+3640,110312.4,36403815.3,7433,3012700,4  /,1.5,0.22,6148,T12233,
N3521,110315.1,001358 9.8,2  804,302212,4X3T1,3.5,7,9.700615,T04763,
11032+4336,110315.5,43360314.6,3224,3612700,20,1,0.3,6149,T14273,
11034+0838,110322,8374315,12347,2612700,,,,,T16170,
11033+0256,110322.2,2570315.4,11805,2912700,2,,,,,
11034+2100,110322.6,20591215.5,9376,3112700,,,,,T18071,
N3516,110322.8,72502012.8,6 2602,1502700,-2B s,2.1,1.8,12.4506153,T05335,Sy1
11033+3012,110323.8,30121515.3,8928,410661,4B2,1.3,0.5,6152,,
11035+0442,110327.1,4415514.4,6425,912212,4X,1.3,1.1,6155,T04733,
11035+0335,110329.8,3352315.3,9403,281-120,-4,,,,,
11037+6708,110332.5,67072315.5,9877,291-120,,,,,180796,
11036+0335,110335.3,3352715.1,9434,481-120,-1B P,,,,,
11036+0436,110335.8,4362214.7,6412,3212700,,,,,T04434,
11034+7658,110336,76575614.8,5156,14701,1B,1,0.5,6154,,
11036+4855,110339.4,48551715.1,7492,10529,20,1.3,0.3,6156,,MK163
11037+5339,110343.2,53381515.3,6407,3512700,,,,,,
11037+1746,110346.3,17464215,2958,110651,8A,,,6157,,2959 15 (0200)
N3524,110355.2,11391813.4,1321,4013700,0,1.7,0.5,6158,T00436,KDG267B
11040+1340,110357.6,13383815.5,7632,3512700,,,,,T15950,
I 667,110358.3,15213515.5,9895,3812700,,,,,T25327,
11039+4614,110359,46140714.6,7512,3312700,,,,,T13918,
11040+4400,110400.3,43593714.4,754,110912,9,3,1.6,6161,T12999,
11040+5130,110400.9,51282914.2,2203,1012212,5A,2.5,1.2,6162,T02978,
N3522,110400.9,20212214.2,1221,1012212,-7,1.2,0.7,6159,T03291,
I 668,110401.3,15184115.4,9902,3812700,,,,,T25567,
11040+2859N,110404,28592215.1,9458,2712779,4,0.9,0.4,06160A,T10910,"NW,A+B MAG=15.1"
11041+2318,110410.8,23171214.9,6419,2712700,1A,1.1,0.8,6163,T18072,M+4-26-28
11043+1428,110413.2,14282214.9,13454,3412700,,,,,T16189,
11042+4606,110414.2,46053315.3,7525,1212700,2A,1.5,0.35,6165,60695,
N3526,110420.5,7264013.7,1420,512212,5,2,0.5,6167,T00040,
11043+1838,110420.9,18381015.4,8168,3212700,,,,,T25494,
11043+2852,110421,28521715.5,10174,912212,1B R,1.1,0.9,6166,T10713,
11045+1220,110426.5,12195414.6,1557,912212,3A,1.9,0.3,6169,,
11045+0804,110427.8,8042715.1,8097,1412700,3A,1.4,0.4,6168,,
11045+5447,110429.2,54474015.5,16244,4812700,,,,,,
11044+4639,110429.3,46391414.8,7456,3212700,,,,,T18307,
